Amethyst          Teldrassil Purple                                     #af5fd7      
Mint Green        Esper's Fungus Green                                  #87ffaf      
Moss Green        Flower Stem                                           #afd7af      
Muesli            Clay Ochre                                            #af875f      
Navy Blue         Midnight in Tokyo                                     #000087      
New York Pink     Peaches of Immortality                                #d78787      
Olive             Heart Gold                                            #878700      
Olive Green       Palm                                                  #afaf5f      
Orchid            Free Speech Magenta                                   #d75fd7      
Orchid            Lavender Pink                                         #d787d7      
Orient            Blue Flame                                            #005f87      
Oyster Bay        Refreshing Primer                                     #d7ffff      
Perano            Winterspring Lilac                                    #afafff      
Persian Green     Hobgoblin                                             #00af87      
Persian Pink      Pink Delight                                          #ff87d7      
Pink Flamingo     Violet Pink                                           #ff5fff      
Pink Lace         Sugarpills                                            #ffd7ff      
Pistachio         Overgrown                                             #87d700      
Polo Blue         Birdie Num Num                                        #87afd7      
Portafino         VIC 20 Creme                                          #ffffaf      
Portage           Lavender Blue Shadow                                  #8787ff      
Purple            Aubergine Perl                                        #5f00af      
Purple            Peaceful Purple                                       #5f0087      
Purple Heart      Trusted Purple                                        #5f00d7      
Purple Pizzazz    Fúchsia Intenso                                       #d700d7      
Purple Pizzazz    Hot Magenta                                           #ff00d7      
Razzmatazz        Standby Led                                           #ff005f      
Razzmatazz        Tête-à-Tête                                           #d7005f      
Red               Red                                                   #ff0000      
Red Berry         Chanticleer                                           #870000      
Red Violet        Snappy Violet                                         #d70087      
Rio Grande        King Lime                                             #afd700      
Riptide           Island Oasis                                          #87d7d7      
Robin's Egg Blue  Jade Glass                                            #00d7d7      
Roman             Spiced Coral                                          #d75f5f      
Rose              Fancy Fuchsia                                         #ff0087      
Rosewood          Spikey Red                                            #5f0000      
Royal Blue        Blue Genie                                            #5f5fff      
Rusty Nail        Rat Brown                                             #875f00      
Sail              Ice Cold Stare                                        #afd7ff      
Salmon            After Burn                                            #ff875f      
San Felix         Cucumber                                              #005f00      
Saratoga          Mud Green                                             #5f5f00      
Scampi            Bellflower                                            #5f5faf      
Science Blue      Blue Ruin                                             #005fd7      
Screamin' Green   Poisonous Dart                                        #87ff5f      
Screamin' Green   Screamin' Green                                       #5fff5f      
Screamin' Green   Thallium Flame                                        #5fff87      
Shakespeare       Flyway                                                #5fafd7      
Silver Chalice    Smoke Screen                                          #afafaf      
Silver Tree       Verdigris Green                                       #5faf87      
Smalt Blue        Steel Teal                                            #5f8787      
Snowy Mint        Transparent Green                                     #d7ffd7      
Spring Green      Cathode Green                                         #00ff5f      
Spring Green      Greenish Turquoise                                    #00ffaf      
Spring Green      Guppie Green                                          #00ff87      
Strikemaster      Candy Violet                                          #875f87      
Sulu              Pale Lime Green                                       #afff5f      
Sulu              Pistachio Mousse                                      #afff87      
Sundance          Sell Gold                                             #d7af5f      
Suva Gray         Mithril                                               #878787      
Tacha             Banana Chalk                                          #d7d75f      
Tan               Calico                                                #d7af87      
Tapestry          Wild Mulberry                                         #af5f87      
Teal              Green Moblin                                          #008787      
Texas Rose        Vintage Orange                                        #ffaf5f      
Thistle           Bff                                                   #d7afd7      
Tickle Me Pink    Informative Pink                                      #ff87af      
Tradewind         Aquarelle                                             #5fafaf      
True V            Gloomy Purple                                         #875fd7      
Turquoise Blue    Athena Blue                                           #5fd7ff      
Turquoise Blue    Moonglade Water                                       #5fffff      
Viking            Hammam Blue                                           #5fd7d7      
Violet Eggplant   Energic Eggplant                                      #af00af      
Violet Eggplant   Mardi Gras                                            #870087      
Violet Eggplant   Shade of Violet                                       #8700af      
Vista Blue        Jovial Jade                                           #87d7af      
White             White                                                 #ffffff      
Wild Blue Yonder  Non Skid Grey                                         #8787af      
Winter Hazel      Wax Green                                             #d7d787      
Yellow            Yellow                                                #ffff00      
Yellow Sea        Gold Fusion                                           #ffaf00      
